"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Abilene, TX",24490,158700,0.0975,NA,0.01621,NA
"Akron, OH",32890,699300,0.1294,0.0544,NA,0.05431
"Albany, GA",24270,163000,0.08217,NA,0.00708,NA
"Albany-Schenectady-Troy, NY",36840,850300,0.1578,0.09399,0.04511,NA
"Albuquerque, NM",37660,816000,0.1599,0.09978,0.205,0.006509
"Alexandria, LA",25490,152200,0.09152,0.0379,0.01134,0.01521
"Allentown-Bethlehem-Easton, PA-NJ",30160,794400,0.1367,NA,0.03384,NA
"Altoona, PA",27010,125500,0.08437,0.04513,0.0233,0.009145
"Amarillo, TX",29360,239800,0.1015,NA,0.01307,NA
"Ames, IA",35570,83520,0.1124,0.03736,0.02457,0.004712
"Anchorage, AK",49500,358800,0.1494,0.06187,0.01165,NA
"Anderson, IN",23310,131000,0.1022,0.02063,0.007531,0.007531
"Anderson, SC",22940,176900,0.08869,0.02267,NA,0.001725
"Ann Arbor, MI",46690,346200,0.1325,0.1134,NA,0.01009
"Anniston-Oxford, AL",27200,112600,0.05911,0.04311,0.009144,0.001633
"Appleton, WI",36440,216100,0.1552,NA,0.01841,NA
"Asheville, NC",28180,397000,0.1633,NA,0.02538,NA
"Athens-Clarke County, GA",26920,182700,0.1248,0.03253,0.01118,NA
"Atlanta-Sandy Springs-Marietta, GA",44770,5114000,0.2128,NA,0.05337,NA
"Atlantic City-Hammonton, NJ",42450,269300,0.1598,0.0447,0.01907,0.005335
"Auburn-Opelika, AL",22210,127900,0.1313,0.02851,0.01091,0.002464
"Augusta-Richmond County, GA-SC",27260,522100,0.09323,NA,0.01286,NA
"Austin-Round Rock, TX",43200,1527000,0.1388,0.09211,0.2495,NA
"Bakersfield, CA",25190,770200,0.1079,0.04664,NA,0.006597
"Baltimore-Towson, MD",40410,2658000,0.1999,0.107,0.0493,NA
"Bangor, ME",29850,147800,0.129,0.03921,NA,0.006346
"Barnstable Town, MA",31730,223300,0.2601,0.06619,NA,0.005363
"Baton Rouge, LA",35560,763600,0.1296,NA,0.01256,NA
"Battle Creek, MI",31150,137200,0.08402,0.01474,NA,0.02223
"Bay City, MI",22870,107900,0.1037,0.1033,0.08752,0.002026
"Beaumont-Port Arthur, TX",29580,373800,0.05961,0.0852,0.01963,NA
"Bellingham, WA",28870,188300,0.1655,0.0469,NA,0.004782
"Bend, OR",35450,148800,0.3053,0.04852,NA,0.002843
"Billings, MT",33300,147700,0.1623,NA,0.01932,NA
"Binghamton, NY",26240,246400,0.09172,0.04811,0.1882,0.008971
"Birmingham-Hoover, AL",39480,1100000,NA,NA,0.02113,NA
"Bismarck, ND",33360,101100,0.1479,0.05276,0.02549,0.02549
"Blacksburg-Christiansburg-Radford, VA",27790,155800,0.08545,NA,0.01755,NA
"Bloomington, IN",24990,181500,0.114,0.04122,0.02469,NA
"Bloomington-Normal, IL",40810,161600,0.3432,NA,0.02289,NA
"Boise City-Nampa, ID",38860,566400,0.184,NA,0.1789,NA
"Boston-Cambridge-Quincy, MA-NH",55630,4467000,0.2614,0.129,0.1196,0.01875
"Boulder, CO",53110,285000,0.1284,0.1908,0.2764,0.009445
"Bowling Green, KY",32140,113900,0.1101,0.02951,0.01175,NA
"Bradenton-Sarasota-Venice, FL",31770,678800,0.2108,0.07271,0.02657,0.009043
"Bremerton-Silverdale, WA",27680,239800,0.1507,0.05047,NA,0.002109
"Bridgeport-Stamford-Norwalk, CT",77860,890500,0.3791,0.08485,NA,0.04285
"Brownsville-Harlingen, TX",15240,378200,0.1013,0.02932,0.01804,0.003643
"Brunswick, GA",27300,99820,0.1233,NA,0.007339,NA
